abilities;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;attack;defense;hp;name;pokedex_number;sp_attack;sp_defense;speed;type1;type2;generation;is_legendary;developers_favourite;design_date;shiny_rate;catch_routes
['Pickup', 'Sand Veil'];1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;60;60;90;Phanpy;231;40;40;40;ground;;2;0;false;1991-11- 1;1.5; 3  7 2 23
['Sturdy', 'Sand Veil'];1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;120;120;90;Donphan;232;60;60;50;ground;;2;0;false;1991- 1-29;1.5;10 18 2 22
['Trace', 'Download', 'Analytic'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;80;90;85;Porygon2;233;1 5;95;60;normal;;2;0;false;1994- 1-31;1.5;10 19 2 22
['Intimidate', 'Frisk', 'Sap Sipper'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;95;62;73;Stantler;234;85;65;85;normal;;2;0;false;1993-11- 7;1.5;10 11 2 22
['Own Tempo', 'Technician', 'Moody'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;20;35;55;Smeargle;235;20;45;75;normal;;2;0;true;1994- 4- 4;1.5; 9 30 2 22
['Guts', 'Steadfast', 'Vital Spirit'];0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;35;35;35;Tyrogue;236;35;35;35;fighting;;2;0;false;1992- 1- 9;0.5; 4 24 2 22
['Intimidate', 'Technician', 'Steadfast'];0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;95;95;50;Hitmontop;237;35;110;70;fighting;;2;0;true;1995- 6-15;0.5; 8 25 2 22
['Oblivious', 'Forewarn', 'Hydration'];2;2;1;1;1;1;2;1;2;1;1;0.5;1;1;0.5;2;2;1;30;15;45;Smoochum;238;85;65;65;ice;psychic;2;0;false;1990-10-18;2.5; 9  8 2 22
['Static', 'Vital Spirit'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;63;37;45;Elekid;239;65;55;95;electric;;2;0;false;1992- 6- 5;1.5; 4 26 2 22
['Flame Body', 'Vital Spirit'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;75;37;45;Magby;240;70;55;83;fire;;2;0;true;1995- 4-13;0.5; 5  3 2 22
['Thick Fat', 'Scrappy', 'Sap Sipper'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;80;1 5;95;Miltank;241;40;70;100;normal;;2;0;true;1994- 8-21;1.5; 6 24 2 22
['Natural Cure', 'Serene Grace', 'Healer'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;10;10;255;Blissey;242;75;135;55;normal;;2;0;true;1990- 5-15;1.5; 7 28 2 22
['Pressure', 'Inner Focus'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;85;75;90;Raikou;243;115;100;115;electric;;2;1;true;1994-10- 7;1.5;11 10 2 22
['Pressure', 'Inner Focus'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;115;85;115;Entei;244;90;75;100;fire;;2;1;false;1994-11- 7;0.5; 8 25 2 22
['Pressure', 'Inner Focus'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;75;115;100;Suicune;245;90;115;85;water;;2;1;false;1995-10-23;1.5; 1  9 2 23
['Guts', 'Sand Veil'];1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;64;50;50;Larvitar;246;45;50;41;rock;ground;2;0;false;1991- 9-22;1.5; 2  6 2 23
['Shed Skin'];1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;84;70;70;Pupitar;247;65;70;51;rock;ground;2;0;false;1994-11- 9;1.5; 6 28 2 22
['Sand Stream', 'Unnerve'];2;0.5;1;1;2;4;0.5;0.5;0.5;2;2;1;0.5;0.5;0;1;2;2;134;110;100;Tyranitar;248;95;100;61;rock;dark;2;0;false;1992-11-29;2.5; 3 12 2 22
['Pressure', 'Multiscale'];1;2;1;2;1;0.25;1;1;2;0.5;0;2;1;1;0.5;2;1;1;90;130;1 6;Lugia;249;90;154;110;psychic;flying;2;1;false;1990- 4-27;1.5; 1  2 2 23
['Pressure', 'Regenerator'];0.25;1;1;2;0.5;0.5;0.5;1;1;0.25;0;1;1;1;1;4;0.5;2;130;90;1 6;Ho-Oh;250;110;154;90;fire;flying;2;1;false;1992- 6-27;0.25; 5 24 2 22
['Natural Cure'];4;2;1;0.5;1;0.5;2;2;2;0.5;0.5;2;1;2;0.5;1;1;0.5;100;100;100;Celebi;251;100;100;100;psychic;grass;2;1;false;1994- 7-11;0.45; 9 22 2 22
['Overgrow', 'Unburden'];2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;45;35;40;Treecko;252;65;55;70;grass;;3;0;false;1993- 3-19;2.5;11 27 2 22
['Overgrow', 'Unburden'];2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;65;45;50;Grovyle;253;85;65;95;grass;;3;0;false;1993- 3- 3;2.5; 5  9 2 22
['Overgrow', 'Unburden'];2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;85;65;70;Sceptile;254;1 5;85;120;grass;;3;0;true;1992- 2-19;2.5;12  4 2 22
['Blaze', 'Speed Boost'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;60;40;45;Torchic;255;70;50;45;fire;;3;0;true;1990- 9-22;0.5; 9  3 2 22
['Blaze', 'Speed Boost'];0.25;0.5;1;1;1;1;0.5;2;1;0.5;2;0.5;1;1;2;1;0.5;2;85;60;60;Combusken;256;85;60;55;fire;fighting;3;0;true;1990- 8-21;0.25; 4 20 2 22
['Blaze', 'Speed Boost'];0.25;0.5;1;1;1;1;0.5;2;1;0.5;2;0.5;1;1;2;1;0.5;2;120;70;80;Blaziken;257;110;70;80;fire;fighting;3;0;true;1995- 1- 1;0.25; 2 16 2 23
['Torrent', 'Damp'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;70;50;50;Mudkip;258;50;50;40;water;;3;0;false;1993- 3-26;1.5; 4 26 2 22
['Torrent', 'Damp'];1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1;85;70;70;Marshtomp;259;60;70;50;water;ground;3;0;true;1993- 3- 5;1.5; 1  5 2 23
['Torrent', 'Damp'];1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1;100;90;100;Swampert;260;85;90;60;water;ground;3;0;false;1993- 5- 1;1.5; 3 14 2 22
['Run Away', 'Quick Feet', 'Rattled'];2;0.5;1;1;2;2;1;1;0.5;1;1;1;1;1;0;1;1;1;55;35;35;Poochyena;261;30;30;35;dark;;3;0;true;1991- 4-23;2.5; 9 15 2 22
['Intimidate', 'Quick Feet', 'Moxie'];2;0.5;1;1;2;2;1;1;0.5;1;1;1;1;1;0;1;1;1;90;70;70;Mightyena;262;60;60;70;dark;;3;0;true;1995-10- 8;2.5; 4 10 2 22
['Pickup', 'Gluttony', 'Quick Feet'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;30;41;38;Zigzagoon;263;30;41;60;normal;;3;0;true;1991- 7- 8;1.5;12  5 2 22
['Pickup', 'Gluttony', 'Quick Feet'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;70;61;78;Linoone;264;50;61;100;normal;;3;0;false;1994- 6- 2;1.5; 7 16 2 22
['Shield Dust', 'Run Away'];1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;45;35;45;Wurmple;265;20;30;20;bug;;3;0;false;1992- 2- 7;1.5; 6 11 2 22
['Shed Skin'];1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;35;55;50;Silcoon;266;25;25;15;bug;;3;0;true;1996- 2-15;1.5; 1 29 2 23
['Swarm', 'Rivalry'];0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;70;50;60;Beautifly;267;100;50;65;bug;flying;3;0;true;1994- 3-28;0.5; 3  5 2 23
['Shed Skin'];1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;35;55;50;Cascoon;268;25;25;15;bug;;3;0;true;1994- 9-11;1.5; 2 23 2 23
['Shield Dust', 'Compoundeyes'];0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;50;70;60;Dustox;269;50;90;65;bug;poison;3;0;false;1993- 1- 5;0.5;12 30 2 22
['Swift Swim', 'Rain Dish', 'Own Tempo'];2;1;1;1;1;1;1;2;1;1;0.5;1;1;2;1;1;0.5;0.25;30;30;40;Lotad;270;40;50;30;water;grass;3;0;false;1995- 7- 5;2.5; 8 18 2 22
['Swift Swim', 'Rain Dish', 'Own Tempo'];2;1;1;1;1;1;1;2;1;1;0.5;1;1;2;1;1;0.5;0.25;50;50;60;Lombre;271;60;70;50;water;grass;3;0;true;1995- 8-17;2.5; 8 24 2 22
['Swift Swim', 'Rain Dish', 'Own Tempo'];2;1;1;1;1;1;1;2;1;1;0.5;1;1;2;1;1;0.5;0.25;70;70;80;Ludicolo;272;90;100;70;water;grass;3;0;false;1990- 3-25;2.5; 3  6 2 23
['Chlorophyll', 'Early Bird', 'Pickpocket'];2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;40;50;40;Seedot;273;30;30;30;grass;;3;0;false;1994- 8- 3;2.5; 1 25 2 23
['Chlorophyll', 'Early Bird', 'Pickpocket'];4;0.5;1;0.5;2;2;2;2;0.5;0.5;0.5;2;1;2;0;1;1;0.5;70;40;70;Nuzleaf;274;60;40;60;grass;dark;3;0;false;1990- 4- 3;0.45;12 20 2 22
['Chlorophyll', 'Early Bird', 'Pickpocket'];4;0.5;1;0.5;2;2;2;2;0.5;0.5;0.5;2;1;2;0;1;1;0.5;100;60;90;Shiftry;275;90;60;80;grass;dark;3;0;true;1991-12-17;0.45; 6 24 2 22
['Guts', 'Scrappy'];0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;55;30;40;Taillow;276;30;30;85;normal;flying;3;0;false;1993- 1-14;0.5;11 15 2 22
['Guts', 'Scrappy'];0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;85;60;60;Swellow;277;75;50;125;normal;flying;3;0;true;1995- 3-26;0.5; 3  8 2 23
['Keen Eye', 'Hydration', 'Rain Dish'];0.5;1;1;4;1;0.5;0.5;1;1;1;0;1;1;1;1;2;0.5;0.5;30;30;40;Wingull;278;55;30;85;water;flying;3;0;false;1993-11-13;0.5; 2 21 2 23
['Keen Eye', 'Drizzle', 'Rain Dish'];0.5;1;1;4;1;0.5;0.5;1;1;1;0;1;1;1;1;2;0.5;0.5;50;100;60;Pelipper;279;95;70;65;water;flying;3;0;true;1992- 6-24;0.5; 5 13 2 22
['Synchronize', 'Trace', 'Telepathy'];1;1;0;1;1;0.25;1;1;2;1;1;1;1;2;0.5;1;2;1;25;25;28;Ralts;280;45;35;40;psychic;fairy;3;0;false;1990-10-31;1.5; 8 10 2 22
['Synchronize', 'Trace', 'Telepathy'];1;1;0;1;1;0.25;1;1;2;1;1;1;1;2;0.5;1;2;1;35;35;38;Kirlia;281;65;55;50;psychic;fairy;3;0;true;1994- 7-30;1.5; 7 30 2 22
['Synchronize', 'Trace', 'Telepathy'];1;1;0;1;1;0.25;1;1;2;1;1;1;1;2;0.5;1;2;1;65;65;68;Gardevoir;282;125;115;80;psychic;fairy;3;0;true;1990-10-16;1.5; 9 24 2 22
['Swift Swim', 'Rain Dish'];1;1;1;2;1;0.5;1;2;1;1;0.5;0.5;1;1;1;2;0.5;0.5;30;32;40;Surskit;283;50;52;65;bug;water;3;0;true;1995-11- 7;1.5;10 27 2 22
['Intimidate', 'Unnerve'];0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;60;62;70;Masquerain;284;100;82;80;bug;flying;3;0;false;1991-12-23;0.5; 7 26 2 22
['Effect Spore', 'Poison Heal', 'Quick Feet'];2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;40;60;60;Shroomish;285;40;60;35;grass;;3;0;true;1994- 6- 3;2.5; 1  5 2 23
['Effect Spore', 'Poison Heal', 'Technician'];1;0.5;1;0.5;2;1;2;4;1;0.5;0.5;2;1;2;2;0.5;1;0.5;130;80;60;Breloom;286;60;60;70;grass;fighting;3;0;false;1993-12- 3;1.5; 8 31 2 22
['Truant'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;60;60;60;Slakoth;287;35;35;30;normal;;3;0;true;1995- 1- 1;1.5; 1 26 2 23
['Vital Spirit'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;80;80;80;Vigoroth;288;55;55;90;normal;;3;0;true;1991- 2-24;1.5; 8  4 2 22
['Truant'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;160;100;150;Slaking;289;95;65;100;normal;;3;0;true;1994- 4- 4;1.5;11 20 2 22
['Compoundeyes', 'Run Away'];1;1;1;0;1;0.5;2;2;1;1;0.5;2;1;0.5;1;1;1;2;45;90;31;Nincada;290;30;30;40;bug;ground;3;0;false;1994- 4-20;1.5;12  5 2 22
['Speed Boost', 'Infiltrator'];0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;90;45;61;Ninjask;291;50;50;160;bug;flying;3;0;false;1993-11-28;0.5; 3 22 2 22
['Wonder Guard'];0.5;2;1;1;1;0;2;2;2;0.5;0.5;1;0;0.5;1;2;1;1;90;45;1;Shedinja;292;30;30;40;bug;ghost;3;0;false;1995- 9-25;0.5; 6 13 2 22
['Soundproof', 'Rattled'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;51;23;64;Whismur;293;51;23;28;normal;;3;0;true;1995- 5-19;1.5;10 23 2 22
['Soundproof', 'Scrappy'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;71;43;84;Loudred;294;71;43;48;normal;;3;0;false;1995- 2-15;1.5;10 24 2 22
['Soundproof', 'Scrappy'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;91;63;1 4;Exploud;295;91;73;68;normal;;3;0;true;1995- 4- 8;1.5; 6  3 2 22
['Thick Fat', 'Guts', 'Sheer Force'];0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;60;30;72;Makuhita;296;20;30;25;fighting;;3;0;false;1992- 3-13;0.5; 4  1 2 22
['Thick Fat', 'Guts', 'Sheer Force'];0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;120;60;144;Hariyama;297;40;60;50;fighting;;3;0;false;1993- 6-30;0.5;12 14 2 22
['Thick Fat', 'Huge Power', 'Sap Sipper'];0.5;0.5;0;1;1;1;1;1;0;1;1;1;1;2;1;1;2;1;20;40;50;Azurill;298;20;40;20;normal;fairy;3;0;false;1996- 2-20;0.5; 2 25 2 23
['Sturdy', 'Magnet Pull', 'Sand Force'];1;1;1;1;1;2;0.5;0.5;1;2;2;1;0.5;0.5;1;1;2;2;45;135;30;Nosepass;299;45;90;30;rock;;3;0;true;1991- 7- 5;1.5; 5 31 2 22
['Cute Charm', 'Normalize', 'Wonder Skin '];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;45;45;50;Skitty;300;35;35;50;normal;;3;0;false;1990- 7-25;1.5; 9 25 2 22
['Cute Charm', 'Normalize', 'Wonder Skin '];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;65;65;70;Delcatty;3 1;55;55;90;normal;;3;0;false;1991- 1-30;1.5; 8 28 2 22
['Keen Eye', 'Stall', 'Prankster'];1;1;1;1;2;0;1;1;1;1;1;1;0;0.5;0;1;1;1;75;75;50;Sableye;3 2;65;65;50;dark;ghost;3;0;true;1990- 9- 7;1.5;11 23 2 22
['Hyper Cutter', 'Intimidate', 'Sheer Force'];0.25;0.5;0;1;0.5;1;2;0.5;1;0.5;2;0.5;0.5;0;0.5;0.5;1;1;85;85;50;Mawile;3 3;55;55;50;steel;fairy;3;0;true;1995- 5-21;0.25; 7  9 2 22
['Sturdy', 'Rock Head', 'Heavy Metal'];0.5;1;0.5;1;0.5;4;1;0.25;1;1;4;0.5;0.25;0;0.5;0.5;1;2;70;100;50;Aron;3 4;40;40;30;steel;rock;3;0;true;1991- 9-26;0.5;10  8 2 22
['Sturdy', 'Rock Head', 'Heavy Metal'];0.5;1;0.5;1;0.5;4;1;0.25;1;1;4;0.5;0.25;0;0.5;0.5;1;2;90;140;60;Lairon;3 5;50;50;40;steel;rock;3;0;true;1995- 7-11;0.5;12  9 2 22
['Sturdy', 'Rock Head', 'Heavy Metal'];0.5;1;0.5;1;0.5;4;1;0.25;1;1;4;0.5;0.25;0;0.5;0.5;1;2;110;180;70;Aggron;3 6;60;60;50;steel;rock;3;0;false;1993- 4- 7;0.5; 5 10 2 22
['Pure Power', 'Telepathy'];1;1;1;1;2;0.5;1;2;2;1;1;1;1;1;1;0.5;1;1;40;55;30;Meditite;3 7;40;55;60;fighting;psychic;3;0;true;1991- 4- 1;1.5; 5 20 2 22
['Pure Power', 'Telepathy'];1;1;1;1;2;0.5;1;2;2;1;1;1;1;1;1;0.5;1;1;60;75;60;Medicham;3 8;60;75;80;fighting;psychic;3;0;true;1992- 2-28;1.5;10 11 2 22
['Static', 'Lightningrod', 'Minus'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;45;40;40;Electrike;3 9;65;40;65;electric;;3;0;true;1994- 3- 2;1.5;11 15 2 22
['Static', 'Lightningrod', 'Minus'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;75;60;70;Manectric;310;1 5;60;1 5;electric;;3;0;true;1990- 9-25;1.5; 9 29 2 22
['Plus', 'Lightningrod'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;50;40;60;Plusle;311;85;75;95;electric;;3;0;false;1993- 9-15;1.5;12 21 2 22
['Minus', 'Volt Absorb'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;40;50;60;Minun;312;75;85;95;electric;;3;0;false;1991- 4-24;1.5; 6 17 2 22
['Illuminate', 'Swarm', 'Prankster'];1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;73;75;65;Volbeat;313;47;85;85;bug;;3;0;false;1991-12-22;1.5; 3  6 2 23
['Oblivious', 'Tinted Lens', 'Prankster'];1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;47;75;65;Illumise;314;73;85;85;bug;;3;0;true;1993-11- 1;1.5;10  3 2 22
['Natural Cure', 'Poison Point', 'Leaf Guard'];1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;60;45;50;Roselia;315;100;80;65;grass;poison;3;0;false;1990-11- 3;1.5; 7  6 2 22
['Liquid Ooze', 'Sticky Hold', 'Gluttony'];0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;43;53;70;Gulpin;316;43;53;40;poison;;3;0;true;1994-12-10;0.5; 2 20 2 23
['Liquid Ooze', 'Sticky Hold', 'Gluttony'];0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;73;83;100;Swalot;317;73;83;55;poison;;3;0;false;1994- 9- 4;0.5; 6  7 2 22
['Rough Skin', 'Speed Boost'];2;0.5;1;2;2;2;0.5;1;0.5;2;1;0.5;1;1;0;1;0.5;0.5;90;20;45;Carvanha;318;65;20;65;water;dark;3;0;true;1992- 9-11;2.5; 5 30 2 22
['Rough Skin', 'Speed Boost'];2;0.5;1;2;2;2;0.5;1;0.5;2;1;0.5;1;1;0;1;0.5;0.5;120;40;70;Sharpedo;319;95;40;95;water;dark;3;0;false;1990-10- 2;2.5;12 31 2 22
['Water Veil', 'Oblivious', 'Pressure'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;70;35;130;Wailmer;320;70;35;60;water;;3;0;false;1990- 6-27;1.5; 9 18 2 22
['Water Veil', 'Oblivious', 'Pressure'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;90;45;170;Wailord;321;90;45;60;water;;3;0;false;1993- 5-28;1.5; 7  9 2 22
['Oblivious', 'Simple', 'Own Tempo'];0.5;1;1;0;0.5;1;0.5;1;1;1;2;1;1;0.5;1;1;0.5;4;60;40;60;Numel;322;65;45;35;fire;ground;3;0;false;1990- 5-22;0.5;12 19 2 22
['Magma Armor', 'Solid Rock', 'Anger Point'];0.5;1;1;0;0.5;1;0.5;1;1;1;2;1;1;0.5;1;1;0.5;4;100;70;70;Camerupt;323;1 5;75;40;fire;ground;3;0;false;1991- 1- 1;0.5;12 27 2 22
['White Smoke', 'Drought', 'Shell Armor'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;85;140;70;Torkoal;324;85;70;20;fire;;3;0;true;1994-11-23;0.5;10  5 2 22
['Thick Fat', 'Own Tempo', 'Gluttony'];2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;25;35;60;Spoink;325;70;80;60;psychic;;3;0;true;1991- 6-16;2.5; 2  7 2 23
['Thick Fat', 'Own Tempo', 'Gluttony'];2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;45;65;80;Grumpig;326;90;110;80;psychic;;3;0;false;1992- 6- 6;2.5;10 29 2 22
['Own Tempo', 'Tangled Feet', 'Contrary'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;60;60;60;Spinda;327;60;60;60;normal;;3;0;true;1995- 2-13;1.5; 4 17 2 22
['Hyper Cutter', 'Arena Trap', 'Sheer Force'];1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;100;45;45;Trapinch;328;45;45;10;ground;;3;0;false;1995- 1-16;1.5; 8  7 2 22
['Levitate'];1;1;2;0;2;1;0.5;1;1;1;1;4;1;0.5;1;0.5;1;1;70;50;50;Vibrava;329;50;50;70;ground;dragon;3;0;false;1991- 5-31;1.5; 8 24 2 22
['Levitate'];1;1;2;0;2;1;0.5;1;1;1;1;4;1;0.5;1;0.5;1;1;100;80;80;Flygon;330;80;80;100;ground;dragon;3;0;true;1992-11- 6;1.5;10 16 2 22
['Sand Veil', 'Water Absorb'];2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;85;40;50;Cacnea;331;85;40;35;grass;;3;0;false;1994- 5-20;2.5;11 12 2 22
['Sand Veil', 'Water Absorb'];4;0.5;1;0.5;2;2;2;2;0.5;0.5;0.5;2;1;2;0;1;1;0.5;115;60;70;Cacturne;332;115;60;55;grass;dark;3;0;true;1995- 3-22;0.45; 6 21 2 22
['Natural Cure', 'Cloud Nine'];0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;40;60;45;Swablu;333;40;75;50;normal;flying;3;0;false;1995- 4-27;0.5; 3  5 2 23
['Natural Cure', 'Cloud Nine'];0.5;1;2;1;2;0.5;0.5;1;1;0.25;0;4;1;1;1;2;1;0.5;70;90;75;Altaria;334;70;1 5;80;dragon;flying;3;0;true;1990- 6- 6;0.5;10  9 2 22
['Immunity', 'Toxic Boost'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;115;60;73;Zangoose;335;60;60;90;normal;;3;0;true;1994-11-22;1.5; 3 11 2 23
['Shed Skin', 'Infiltrator'];0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;100;60;73;Seviper;336;100;60;65;poison;;3;0;true;1992- 3-22;0.5;11  9 2 22
['Levitate'];2;2;1;1;1;1;0.5;0.5;2;2;2;1;0.5;0.5;0.5;1;2;2;55;65;90;Lunatone;337;95;85;70;rock;psychic;3;0;true;1993- 6-26;2.5; 4 16 2 22
['Levitate'];2;2;1;1;1;1;0.5;0.5;2;2;2;1;0.5;0.5;0.5;1;2;2;95;85;90;Solrock;338;55;65;70;rock;psychic;3;0;true;1991- 2-10;2.5; 6 12 2 22
['Oblivious', 'Anticipation', 'Hydration'];1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1;48;43;50;Barboach;339;46;41;60;water;ground;3;0;true;1991- 3-11;1.5; 8 16 2 22
['Oblivious', 'Anticipation', 'Hydration'];1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1;78;73;110;Whiscash;340;76;71;60;water;ground;3;0;true;1992-10-14;1.5;10 16 2 22
['Hyper Cutter', 'Shell Armor', 'Adaptability'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;80;65;43;Corphish;341;50;35;35;water;;3;0;false;1990-12-19;1.5; 1 12 2 23
['Hyper Cutter', 'Shell Armor', 'Adaptability'];2;0.5;1;2;2;2;0.5;1;0.5;2;1;0.5;1;1;0;1;0.5;0.5;120;85;63;Crawdaunt;342;90;55;55;water;dark;3;0;true;1990- 4-22;2.5; 2 15 2 23
['Levitate'];2;2;1;0;1;0.5;1;1;2;2;1;2;1;0.5;0.5;0.5;1;2;40;55;40;Baltoy;343;40;70;55;ground;psychic;3;0;true;1991-12-22;2.5; 5 12 2 22
['Levitate'];2;2;1;0;1;0.5;1;1;2;2;1;2;1;0.5;0.5;0.5;1;2;70;1 5;60;Claydol;344;70;120;75;ground;psychic;3;0;false;1993- 1- 5;2.5;12 25 2 22
['Suction Cups', 'Storm Drain'];2;1;1;0.5;1;2;1;1;1;1;1;2;0.5;1;1;1;2;1;41;77;66;Lileep;345;61;87;23;rock;grass;3;0;false;1991- 8-18;2.5; 4 17 2 22
['Suction Cups', 'Storm Drain'];2;1;1;0.5;1;2;1;1;1;1;1;2;0.5;1;1;1;2;1;81;97;86;Cradily;346;81;1 7;43;rock;grass;3;0;false;1990- 9-14;2.5; 9 23 2 22
['Battle Armor', 'Swift Swim'];1;1;1;1;1;1;1;1;1;1;1;1;0.5;0.5;1;2;2;2;95;50;45;Anorith;347;40;50;75;rock;bug;3;0;true;1995- 1-25;1.5; 4  4 2 22
['Battle Armor', 'Swift Swim'];1;1;1;1;1;1;1;1;1;1;1;1;0.5;0.5;1;2;2;2;125;100;75;Armaldo;348;70;80;45;rock;bug;3;0;false;1994-10-21;1.5;10 28 2 22
['Swift Swim', 'Oblivious', 'Adaptability'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;15;20;20;Feebas;349;10;55;80;water;;3;0;false;1990-12-19;1.5;11 21 2 22
['Marvel Scale', 'Competitive', 'Cute Charm'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;60;79;95;Milotic;350;100;125;81;water;;3;0;false;1994- 3-26;1.5; 5  2 2 22
['Forecast'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;70;70;70;Castform;351;70;70;70;normal;;3;0;true;1992- 1-31;1.5;11 30 2 22
